name,file,cell_index,line_in_cell,abs_line,signature
list_own_functions,01_exploratory_iteration.ipynb,3,3,47,list_own_functions(mod)
pick_text_col,01_exploratory_iteration.ipynb,8,5,99,"pick_text_col(df, candidates)"
normalize_text,01_exploratory_iteration.ipynb,8,12,106,normalize_text(s)
punctuation_ratio,01_exploratory_iteration.ipynb,8,20,114,punctuation_ratio(s)
nonascii_ratio,01_exploratory_iteration.ipynb,8,26,120,nonascii_ratio(s)
word_count,01_exploratory_iteration.ipynb,8,32,126,word_count(s)
is_test_like,01_exploratory_iteration.ipynb,8,49,143,is_test_like(s)
gibberish_score,01_exploratory_iteration.ipynb,8,63,157,gibberish_score(s)
gibberish_score_v2,01_exploratory_iteration.ipynb,12,24,231,gibberish_score_v2(s)
is_low_quality_v2,01_exploratory_iteration.ipynb,12,58,265,is_low_quality_v2(row)
is_low_quality_v4,01_exploratory_iteration.ipynb,13,1,326,is_low_quality_v4(row)
normalize_for_exact,01_exploratory_iteration.ipynb,16,13,376,normalize_for_exact(s)
normalize_for_near,01_exploratory_iteration.ipynb,16,22,385,normalize_for_near(s)
normalize_for_exact,01_exploratory_iteration.ipynb,17,17,417,normalize_for_exact(s)
normalize_for_near,01_exploratory_iteration.ipynb,17,25,425,normalize_for_near(s)
normalize_text,01_exploratory_iteration.ipynb,18,5,529,normalize_text(s)
is_test_like,01_exploratory_iteration.ipynb,20,53,624,is_test_like(s)
_safe_str,01_exploratory_iteration.ipynb,23,29,776,_safe_str(s)
_words,01_exploratory_iteration.ipynb,23,32,779,_words(s)
_char_trigram_entropy,01_exploratory_iteration.ipynb,23,35,782,_char_trigram_entropy(s)
_vowel_ratio,01_exploratory_iteration.ipynb,23,46,793,_vowel_ratio(s)
_emoji_ratio,01_exploratory_iteration.ipynb,23,54,801,_emoji_ratio(s)
_url_like_ratio,01_exploratory_iteration.ipynb,23,61,808,_url_like_ratio(s)
_get_text,01_exploratory_iteration.ipynb,23,69,816,_get_text(row)
gibberish_score_v3,01_exploratory_iteration.ipynb,23,79,826,gibberish_score_v3(s)
_get_text,01_exploratory_iteration.ipynb,23,158,905,_get_text(row)
is_low_quality_v3,01_exploratory_iteration.ipynb,23,167,914,is_low_quality_v3(row)
show_active,01_exploratory_iteration.ipynb,27,3,1068,show_active(func)
load_ipynb_code,01_exploratory_iteration.ipynb,28,14,1093,load_ipynb_code(path)
scan_defs_in_source,01_exploratory_iteration.ipynb,28,27,1106,"scan_defs_in_source(src, file, cell_index, base_line)"
extract_func_source,01_exploratory_iteration.ipynb,28,49,1128,"extract_func_source(src, start_line, end_line)"
